id,title,type,style_type,product_url,descr,color,size,keywords,image_name
516148,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/eileen-fisher-boatneck-tee?ID=516148&CategoryID=2910,"
Keep everyday looks casual while still exuding ultra refinement in this Eileen Fisher tee.
",White,"XX Small, X Small, Small, Medium, Large, X Large, ","Three-quarter sleeves, Pull-on silhouette, Cotton. Machine wash. Imported, Organic Cotton, Machine wash, ",1142742
516148,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/eileen-fisher-boatneck-tee?ID=516148&CategoryID=2910,"
Keep everyday looks casual while still exuding ultra refinement in this Eileen Fisher tee.
",Black,"XX Small, X Small, Small, Medium, Large, X Large, ","Three-quarter sleeves, Pull-on silhouette, Cotton. Machine wash. Imported, Organic Cotton, Machine wash, ",1142744
433163,"
",Bottom,"jeggings female",http://www1.bloomingdales.com/shop/product/citizens-of-humanity-avedon-super-stretch-denim-leggings-in-axel-wash?ID=433163&CategoryID=2911,"
Every girl needs a pair of skinny jeans -- they're perfect for layering with the season's slouchy tees and fitted jackets. This pair from Citizens of Humanity features the exclusive Super Stretch, which creates a body-hugging style that is sexy, slimming and incredibly slick.
",Star/Axel,"30, 32, ","Low-rise waist, zip fly with button closure, five-pocket styling with signature stitching on back pockets, Super Stretch is made using Japanese Bemberg fibers that create a soft hand-feel and rich luster. Innovative processing allows for 35% stretchability and fluidity that moves with the body but always maintains its original silhouette., Rayon/cotton/cupro/polyurethane. Machine wash. Made in USA, Machine wash, ",1144831
443358,"
",Bottom,"denims female",http://www1.bloomingdales.com/shop/product/7-for-all-mankind-the-skinny-denim-leggings-in-rinsed-indigo-wash?ID=443358&CategoryID=2911,"
Soft and stretchy, these second-skin denim jeans in a clean, dark indigo wash are your go-to option for day-to-night chic.
","Rinsed Indigo","24, 25, 26, 27, 28, 29, 30, 31, 32, ","Zip fly with button closure, five-pocket silhouette, Contrast stitching, copper hardware, Cotton/spandex, Machine wash or dry clean, Made in USA of Imported Materials, ",1144871
445839,"
",Bottom,"denims female",http://www1.bloomingdales.com/shop/product/j-brand-black-denim-leggings?ID=445839&CategoryID=2911,"
Denim leggings offer you the best of two worlds: a chic silhouette and effortless comfort. Team the closet perennial with an embellished tank and fitted blazer or a airy open cardi and fitted camisole. Ankle booties seal the look. Functional flat back pockets.
",Pitch,"24, 25, 27, 28, 29, 30, 31, 32, ","Cotton/polyester/Lycra , Machine wash, Made in USA, Cotton/polyester/elastane, ",1144915
104950,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/hanro-tank-top-touch-feeling-1814?ID=104950&CategoryID=2910,"
For over 120 years, HANRO of Switzerland has been the leader in luxurious intimate apparel distinguished by uncompromised quality and style, exquisite fabrics, and exceptional comfort. Touch Feeling is a HANRO exclusive state-of-the-art microfiber fabric for functional and body conscious styles. Tank top offers the ultimate softness and highest wearing comfort. Style #1814
",Black,"X Small, Small, Medium, Large, X Large, ","White (10), Black (09) or Skin (15), Micro polyamide/elastane, XS, S, M, L, XL, Machine wash. Imported, ",1153342
104950,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/hanro-tank-top-touch-feeling-1814?ID=104950&CategoryID=2910,"
For over 120 years, HANRO of Switzerland has been the leader in luxurious intimate apparel distinguished by uncompromised quality and style, exquisite fabrics, and exceptional comfort. Touch Feeling is a HANRO exclusive state-of-the-art microfiber fabric for functional and body conscious styles. Tank top offers the ultimate softness and highest wearing comfort. Style #1814
",White,"X Small, Small, Medium, Large, X Large, ","White (10), Black (09) or Skin (15), Micro polyamide/elastane, XS, S, M, L, XL, Machine wash. Imported, ",1153343
815826,"
",Bottom,"cropped pants female",http://www1.bloomingdales.com/shop/product/lysse-capri-leggings?ID=815826&CategoryID=2910,"
The must-have, go-to look for every woman, Lyssé leggings lend a flirtatious cropped silhouette to everyday styles. A wide, four-way stretch waistband flattens the tummy for a flattering silhouette.
","
Black
",,"Pocket free, Cotton/spandex/; inner panel: polyester/spandex, Machine wash, Imported, ",1162531
539403,"
",Bottom,"ankle pants female",http://www1.bloomingdales.com/shop/product/eileen-fisher-organic-stretch-cotton-twill-slim-ankle-pants?ID=539403&CategoryID=2910,"
Keep your silhouette clean in these moveable Eileen Fisher trousers. Rendered in stretch cotton twill, this look is as comfortable as it is chic.
","
Black
","XX Small, X Small, Small, Medium, Large, X Large, ","Covered elastic waist, concealed side zip, Split cuffs, back darting, Organic cotton/spandex, Machine wash, Imported, ",1163625
528925,"
",Bottom,"ankle pants female",http://www1.bloomingdales.com/shop/product/eileen-fisher-organic-stretch-cotton-twill-slim-ankle-pant?ID=528925&CategoryID=2910,"
Streamline your silhouette in these classic and simple Eileen Fisher pants. The cropped length lends easy appeal.
","
Stone
","XX Small, X Small, Small, Medium, Large, X Large, ","Covered elastic waistband, split cuffs, Concealed side seam, pocket free, Unlined. Cotton/spandex. Machine wash. Imported, ",1163640
529567,"
",Bottom,"denims female",http://www1.bloomingdales.com/shop/product/dl1961-jeans-angel-ankle-cigarette-in-mariner?ID=529567&CategoryID=2911,"
Streamline your silhouette in DL1961's skinny, ankle-length jeans. Take the dark wash denim out on date night or to the club with the girls--just add pumps and your sexiest pout.
",Mariner,"24, 25, 26, 27, 28, 29, 30, 31, 32, ","Five-pocket silhouette, contrast stitching, gold hardware, 29"" inseam, 8"" rise, 12"" leg opening, Cotton/polyester. Machine wash. Made in USA, Cotton/polyester, Made in USA, ",1165237
505128,"
",Bottom,"shorts female",http://www1.bloomingdales.com/shop/product/alice-olivia-shorts-cady-cuff?ID=505128&CategoryID=2911,"
Forgo the mini skirt for these equally flirtatious cuffed shorts from Alice + Olivia.
",Black,"0, 2, 4, 6, 8, 10, 12, ","Front zip with double hook-and-bar closure, belt loops, wide waistband, Two side slash pockets, two back welt pockets, 2.5"" inseam, Cotton/spandex, Dry clean, Made in USA, ",1167062
505128,"
",Bottom,"shorts female",http://www1.bloomingdales.com/shop/product/alice-olivia-shorts-cady-cuff?ID=505128&CategoryID=2911,"
Forgo the mini skirt for these equally flirtatious cuffed shorts from Alice + Olivia.
",White,"0, 2, 4, 6, 8, 10, 12, ","Front zip with double hook-and-bar closure, belt loops, wide waistband, Two side slash pockets, two back welt pockets, 2.5"" inseam, Cotton/spandex, Dry clean, Made in USA, ",1174514
538836,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/vince-little-boy-tee?ID=538836&CategoryID=2911,"
This basic tee from Vince is a perennial wardrobe essential, perfect for layering under a cardigan or on its own with our skinny jeans.
",Black,"X Small, Small, Medium, Large, ","Crew neck, short sleeves, Pima/modal. Machine wash. Imported., ",1181361
538836,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/vince-little-boy-tee?ID=538836&CategoryID=2911,"
This basic tee from Vince is a perennial wardrobe essential, perfect for layering under a cardigan or on its own with our skinny jeans.
","H. Grey","X Small, Small, Medium, Large, ","Crew neck, short sleeves, Pima/modal. Machine wash. Imported., ",1181363
541010,"
",Bottom,"leggings female",http://www1.bloomingdales.com/shop/product/spanx-leggings-look-at-me-1064a?ID=541010&CategoryID=2910,"
Look stylish and love your shape with Look-at-Me Leggings, the first-ever shaping leggings, from SPANX! Wear these perfect-with-anything pants under a tunic or with a top, to be seen! Style #1064A
","
Black
","Small, Medium, Large, X Large, ","Cotton Fashion Legging with Undie-tectable  Shaping, All-over slimming cotton leggings   your go-to pants, High-waisted control flattens torso and tummy, Seamless smoothing leaves butt, thighs and legs looking flawless, Totally opaque, Non-binding legband keeps pants in place, Cotton/nylon/spandex/elastane. Machine wash. Imported, ",1184448
444501,"
",Bottom,"leggings female",http://www1.bloomingdales.com/shop/product/wolford-leggings-velvet-de-luxe-017017?ID=444501&CategoryID=2910,"
Easy living, easy moving. This is what makes this season feel sexy. Opaque, velvety soft leggings with a smooth, matte look. A great item for teaming with dresses, skirts and minis. Made from velvet yarn for a soft, luxurious feel. Excellent wear, thanks to the applied plating technique. Soft, comfortable knitted waistband. 66 denier appearance. Style #017017
","
Black
","X Small, Small, Medium, Large, ","Polyamide/nylon/elastane, Machine wash, Imported, ",1192095
461340,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/wolford-top-athens-051138?ID=461340&CategoryID=2910,"
A long tank top with a body skimming silhouette in a seamless knitting technique. Great for layering or worn on its own. Style #051138
",Black,"X Small, Small, Medium, Large, X Large, ","Side stitched trim, Cotton on inside and shimmer on outside, Cotton/polyamide/nylon/elastane, Machine wash, Imported, ",1192097
541313,"
",Bottom,"leggings female",http://www1.bloomingdales.com/shop/product/spanx-high-waisted-leggings-look-at-me-1070a?ID=541313&CategoryID=2910,"
Look stylish and love your shape with Look-at-Me Leggings, the first-ever shaping leggings, from SPANX! Wear these perfect-with-anything pants under a tunic or with a top, to be seen! Style #1070A
","
Black
","Small, Medium, Large, ","Cotton Fashion Legging with Undie-tectable  Shaping, Tummy-targeted slimming flattens the belly, Seamless smoothing leaves bottom, thighs and legs looking flawless, Totally opaque, non-binding legband keeps pants in place, Cotton/nylon/spandex/elastane, Machine wash, Imported, ",1192104
461340,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/wolford-top-athens-051138?ID=461340&CategoryID=2910,"
A long tank top with a body skimming silhouette in a seamless knitting technique. Great for layering or worn on its own. Style #051138
",White,"X Small, Small, Medium, Large, X Large, ","Side stitched trim, Cotton on inside and shimmer on outside, Cotton/polyamide/nylon/elastane, Machine wash, Imported, ",1192105
551673,"
",Bottom,"leggings female",http://www1.bloomingdales.com/shop/product/alternative-the-skinny-leggings?ID=551673&CategoryID=2911,"
These ALTERNATIVE skinny leggings are a layering essential—ideal under billowy tunics and extra-long tees.
",Black,"Small, Medium, Large, X Large, ","Banded elastic waist, Pima cotton/modal/spandex. Machine wash. Imported., ",1202920
553758,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/ongossamer-cotton-camisole-cabana-1427?ID=553758&CategoryID=2910,"
A soft and stretchy cotton camisole with scalloped edge trim, the perfect top for layering or worn on it's own. Style #1427
","
White
","Small, Medium, Large, ","V-neckline, Pima cotton/spandex. Machine wash. Imported., ",1206371
762713,"
",Tops,"sweatshirt female",http://www1.bloomingdales.com/shop/product/alternative-the-maniac-long-sleeve-pullover-sweatshirt?ID=762713&CategoryID=2911,"
This ALTERNATIVE sweatshirt is a chic update on a sporty favorite.
","
Eco Grey Heather
","Large, X Large, ","Raw-edge wide neck, long raglan sleeves with banded cuffs, Kangaroo pocket, banded hem, Polyester/cotton/rayon. Machine wash. Imported., ",1211185
556358,"
",Bottom,"leggings female",http://www1.bloomingdales.com/shop/product/dkny-leggings-smoothies-0b210?ID=556358&CategoryID=2910,"
These tummy and thigh shaping leggings from DKNY are a fall layering essential. Style #0B210
","
Blackberry
",,"Tummy control, thigh shaping, Footless, Nylon/spandex. Hand wash. Imported., Nylon/spandex, Hand wash, Imported, ",1211205
561067,"
",Bottom,"ankle pants female",http://www1.bloomingdales.com/shop/product/lysse-plus-ankle-leggings?ID=561067&CategoryID=2917,"
A signature control top lends shape to this sleek Lyssé Plus leggings look.
",Black,"1X, 2X, 3X, ","Wide, banded elastic waist, Pocket free, Cotton/spandex; lining: polyester/spandex, Machine wash, Made in USA, ",1217685
566394,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/tc-fine-intimates-camisole-444?ID=566394&CategoryID=2910,"
A sleek, seamless camisole with everyday control for ultra smoothing and defined shaping. Style #444
","
Nude
","34, 36, ","Molded seamless cups with shelf bra, Adjustable straps, Banded sized and not cup sized, Fit flexibility to accommodate bust requirements, controls midriff and back bulges, No ride up, Nylon/spandex. Machine wash. Imported., ",1224953
565715,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/tc-fine-intimates-long-leg-torsette-open-bust-4041?ID=565715&CategoryID=2910,"
An open bust long leg torsette with hidden control panels to slim, shape and smooth. Style #4041
",Nude,"Small, Medium, Large, X Large, ","Midriff and thigh control, Padded straps and armholes for added comfort, High back, Nylonekastane. Machine wash. Imported., Nylon/elastane/spandex/polyester/cotton, Machine wash warm, ",1225023
565715,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/tc-fine-intimates-long-leg-torsette-open-bust-4041?ID=565715&CategoryID=2910,"
An open bust long leg torsette with hidden control panels to slim, shape and smooth. Style #4041
",Black,"Small, Medium, Large, X Large, ","Midriff and thigh control, Padded straps and armholes for added comfort, High back, Nylonekastane. Machine wash. Imported., Nylon/elastane/spandex/polyester/cotton, Machine wash warm, ",1226520
579344,"
",Bottom,"cropped pants female",http://www1.bloomingdales.com/shop/product/eileen-fisher-plus-size-slim-ankle-pants?ID=579344&CategoryID=2917,"
The smart ankle-length silhouette of these Eileen Fisher pants lends endless versatility to your new-season wardrobe.
","
White
","1X, 2X, 3X, ","Covered elastic waistband, concealed side zip closure, Cropped slim leg with ankle vents, Organic cotton/spandex, Machine wash, Imported, ",1247058
579346,"
",Bottom,"cropped pants female",http://www1.bloomingdales.com/shop/product/eileen-fisher-plus-size-slim-ankle-pants?ID=579346&CategoryID=2917,"
The smart ankle-length silhouette of these Eileen Fisher pants lends endless versatility to your new-season wardrobe.
","
Black
","1X, 2X, 3X, ","Elastic waistband, Cropped slim leg with ankle vents, Cotton/spandex, Machine wash, Made in USA, ",1247063
607128,"
",Bottom,"skinny jeans female",http://www1.bloomingdales.com/shop/product/michael-michael-kors-slim-jeans-in-white?ID=607128&CategoryID=2910,"
Gleaming silver-toned signature accents enhance the crisp white hue of these MICHAEL Michael Kors jeans, cut in a slim silhouette for a trend-driven look.
","Optic White","2, 4, 6, 8, 10, 12, 14, 16, ","9"" rise, 31"" inseam, 12"" leg opening, Five-pocket silhouette, slim fit, Cotton/spandex, Machine wash, Imported, ",1247810
582147,"
",Bottom,"denims female",http://www1.bloomingdales.com/shop/product/7-for-all-mankind-jeans-petite-bootcut-jeans-in-nouveau-new-york-dark?ID=582147&CategoryID=2911,"
Boasting a classically cool silhouette and dark wash, these 7 For All Mankind petite bootcut jeans are destined to be on heavy rotation--in every season.
","Nouveau New York Dark","24P, 25P, 26P, 27P, 28P, 29P, 30P, 31P, 32P, ","Zip fly with button closure, five-pocket silhouette, Faded through leg and back, whiskered on hip, distressed pockets, contrast stitching, copper hardware, 7"" rise, 32"" inseam, 17"" leg opening, Cotton/polyester/spandex, Machine wash or Dry clean, Made in USA of Imported Materials, ",1250645
681394,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/velvet-by-graham-spencer-top-joss-dolman?ID=681394&CategoryID=2911,"
",White,"Petite, Small, Medium, Large, X Large, ","Wide boatneck, three quarter dolman sleeves, We recommend ordering one size up for off-shoulder styling, Cotton, Machine wash, Made in USA, ",1251267
592699,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/commando-mini-camisole-slip-mnc01unbx?ID=592699&CategoryID=2910,"
Commando slips are comfortable, sleek, and sophisticated. An innovative fabric creates a smooth silhouette, and raw-cut edges dont dig into your body. A patent-pending weight system keeps the slips in place. Hello, commando. Style #MNC01UNBX
","True Nude","X Small, Small/Medium, Medium/Large, ","Nylon/spandex, Machine wash, Made in USA, ",1269226
592699,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/commando-mini-camisole-slip-mnc01unbx?ID=592699&CategoryID=2910,"
Commando slips are comfortable, sleek, and sophisticated. An innovative fabric creates a smooth silhouette, and raw-cut edges dont dig into your body. A patent-pending weight system keeps the slips in place. Hello, commando. Style #MNC01UNBX
",Black,"X Small, Small/Medium, Medium/Large, ","Nylon/spandex, Machine wash, Made in USA, ",1269244
596483,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/hanro-cotton-seamless-camisole-v-neck-1601?ID=596483&CategoryID=2910,"
Made from the finest, mercerized cotton, this camisole is super soft to the touch. Style #1601
",Skin,"X Small, Small, Medium, Large, ","Adjustable straps, Seamless finish with no side seams, Mercerized cotton, Machine wash, Imported, ",1280089
596483,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/hanro-cotton-seamless-camisole-v-neck-1601?ID=596483&CategoryID=2910,"
Made from the finest, mercerized cotton, this camisole is super soft to the touch. Style #1601
",Black,"X Small, Small, Medium, Large, ","Adjustable straps, Seamless finish with no side seams, Mercerized cotton, Machine wash, Imported, ",1280090
596483,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/hanro-cotton-seamless-camisole-v-neck-1601?ID=596483&CategoryID=2910,"
Made from the finest, mercerized cotton, this camisole is super soft to the touch. Style #1601
",White,"X Small, Small, Medium, Large, ","Adjustable straps, Seamless finish with no side seams, Mercerized cotton, Machine wash, Imported, ",1280091
601104,"
",Bottom,"cropped pants female",http://www1.bloomingdales.com/shop/product/eileen-fisher-petites-slim-ankle-pants?ID=601104&CategoryID=17378,"
The smart ankle-length silhouette of these Eileen Fisher pants lends endless versatility to your new-season wardrobe.
",White,"P/XS, P/S, P/M, P/L, ","Covered elastic waistband, Cropped silhouette, Viscose/nylon/Lycra  spandex, Machine wash, Made in USA of Imported Materials, ",1287455
603046,"
",Bottom,"cropped pants female",http://www1.bloomingdales.com/shop/product/dkny-leggings?ID=603046&CategoryID=2910,"
A pair of second-skin leggings offers the perfect foundation for any look. Pull them on under a breezy floral dress or solid mini for office-friendly ensembles.
",Black,"Petite, Small, Medium, Large, ","Covered elastic waistband, pull-on style, Cropped silhouette, Viscose/nylon/elastane, Dry clean, Imported, ",1290825
603298,"
",Bottom,"denims female",http://www1.bloomingdales.com/shop/product/ag-jeans-prima-mid-rise-cigarette-in-jetsetter-wash?ID=603298&CategoryID=2911,"
Both chic and effortless, these AG skinny jeans feature an ultra-dark wash and super-soft feel.
",Jetsetter,"24, 25, 26, 27, 28, 29, 30, 31, 32, ","Zip fly with button closure, five-pocket silhouette, Faded through front and back, whiskered on hip, contrast stitching, copper hardware, 8.5"" rise, 30"" inseam, 11.5"" leg opening, Cotton/rayon/polyurethane, Machine washable, Made in USA of Imported Materials, ",1291698
604003,"
",Bottom,"flare pants female",http://www1.bloomingdales.com/shop/product/spanx-active-power-pant-with-slim-x-bagel-buster?ID=604003&CategoryID=2910,"
Slim-X® built-in to flatten tummy with flattering fabric that hides imperfections.
","
Black
","Small, Medium, Large, X Large, ","Flared leg and back seams visually slim silhouette, Super comfortable and super effective, Moderate control, Waist: nylon; spandex; body: rayon/nylon/elastane; gusset: cotton, Machine wash, Imported, ",1292642
604005,"
",Bottom,"leggings female",http://www1.bloomingdales.com/shop/product/spanx-active-shaping-compression-knee-pant-with-slim-x?ID=604005&CategoryID=2910,"
A figure-firming pant wicks and performs in a great length.
","
Black
","Small, Medium, Large, X Large, ","Ultra-flattering, No center seam, Curved seams narrow hips and behind, Super comfortable and super effective, Moderate coverage, Nylon/spandex, Machine wash, Imported, ",1292645
104950,"
",Tops,"camisole female",http://www1.bloomingdales.com/shop/product/hanro-tank-top-touch-feeling-1814?ID=104950&CategoryID=2910,"
For over 120 years, HANRO of Switzerland has been the leader in luxurious intimate apparel distinguished by uncompromised quality and style, exquisite fabrics, and exceptional comfort. Touch Feeling is a HANRO exclusive state-of-the-art microfiber fabric for functional and body conscious styles. Tank top offers the ultimate softness and highest wearing comfort. Style #1814
",Skin,"X Small, Small, Medium, Large, X Large, ","White (10), Black (09) or Skin (15), Micro polyamide/elastane, XS, S, M, L, XL, Machine wash. Imported, ",716185
1299768,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/three-dots-british-cotton-tee?ID=1299768&CategoryID=2910,"
A true essential for any gal, this Three Dots top uses fabric treated to retain color, and its premium combed cotton resists pilling.
","
White
","X Small, Small, Medium, Large, X Large, ","Bateau neckline, three-quarter sleeves, Seamless lockstitching, Cotton. Machine wash. Made in USA, Cotton, Machine wash, Made in USA, ",8016524
617474,"
",Bottom,"ankle pants female",http://www1.bloomingdales.com/shop/product/michael-michael-kors-black-straight-leg-ankle-pants?ID=617474&CategoryID=2910,"
A warm weather refresher for your 9-to-5, these MICHAEL Michael Kors pants combine clean styling and a chic ankle silhouette.
",Black,"2, 4, 6, 8, 10, 12, 14, 16, ","Wide waistband, concealed zip with double hook and inner button closure, slim silhouette, Back slit pockets, cropped, stretch, Polyester/rayon/spandex, Machine wash, Imported, ",8021701
617706,"
",Bottom,"skinny jeans female",http://www1.bloomingdales.com/shop/product/james-jeans-legging-jeans-twiggy-in-black?ID=617706&CategoryID=2911,"
Streamlined and sleek, these James Jeans skinny jeans put a sophisticated spin on classic denim.
",Black,"24, 25, 26, 27, 28, 29, 30, 31, 32, ","Zip fly with button closure, five-pocket silhouette, Tonal stitching, black hardware, 8.5"" rise, 29"" inseam, 10"" leg opening, Cotton/Lycra  spandex, Machine wash, Made in USA, ",8021835
626879,"
",Tops,"trench coat female",http://www1.bloomingdales.com/shop/product/dkny-megan-double-breasted-trench-coat-with-belt?ID=626879&CategoryID=2911,"
This take on the timeless double-breasted belted trench coat features a vibrant red hue and glossy black buttons to brighten up your look on even the rainiest day.
","Rebel Red","X Small, Small, Medium, Large, X Large, ","Notch collar, shoulder pads, epaulets with buttons, storm flaps, long sleeves, button tabs at cuffs, Double-breasted button-front closure, belted, side slit pockets with hand-warming lining, back vent, Cotton/polyester, Machine wash, Imported, ",8068109
630291,"
",Bottom,"ankle pants female",http://www1.bloomingdales.com/shop/product/eileen-fisher-plus-slim-ankle-pants?ID=630291&CategoryID=2917,"
Ease into weekend wear in these Eileen Fisher Plus pants featuring a cropped, light-weight silhouette for warm-weather comfort.
",White,"1X, 2X, 3X, ","Elasticized waistband, pull-on style, Straight-leg silhouette , Viscose/nylon/lycra, Machine wash, Imported, ",8075652
630275,"
",Bottom,"ankle pants female",http://www1.bloomingdales.com/shop/product/eileen-fisher-slim-ankle-pants-in-white?ID=630275&CategoryID=2910,"
Ease into weekend wear in these Eileen Fisher pants featuring a cropped, light-weight silhouette for warm-weather comfort.
",White,"XX Small, X Small, Small, Medium, Large, X Large, ","Elasticized waistband, pull-on style, Straight-leg silhouette , Viscose/nylon/Lycra  spandex, Machine wash, Made in USA of Imported Materials, ",8075663
630278,"
",Bottom,"ankle pants female",http://www1.bloomingdales.com/shop/product/eileen-fisher-petites-ankle-leggings?ID=630278&CategoryID=17378,"
Perfect to wear to work and equally chic after hours, these comfortable and versatile Eileen Fisher Petites leggings pair beautifully under everything from chunky knits and loose-fitting dresses.
",Black,"P/XS, P/S, P/M, P/L, ","Covered elasticized waistband, Slim silhouette, cropped, Viscose/Lycra spandex, Machine wash, Made in USA of Imported Materials, ",8075665
631987,"
",Tops,"tee female",http://www1.bloomingdales.com/shop/product/rag-bone-jean-top-the-classic-v?ID=631987&CategoryID=2911,"
This rag & bone/JEAN v-neck tee boasts laid-back weekend style.
","Bright White","X Small, Small, Medium, Large, ","V neck, Short sleeves, relaxed fit, Cotton, Machine wash, Imported, ",8079798
634744,"
",Bottom,"denims female",http://www1.bloomingdales.com/shop/product/dl1961-jeans-coco-curvy-straight-in-solo-wash?ID=634744&CategoryID=2911,"
",Solo,"24, 25, 26, 27, 28, 29, 30, 31, 32, ","Zip fly with button closure, five-pocket silhouette, Contrast stitching, gold logo hardware, front whiskers , 8.5"" rise, 34"" inseam, 13"" leg opening, Cotton/polyester, Machine wash, Made in USA, ",8084575
646574,"
",Tops,"wrap coat female",http://www1.bloomingdales.com/shop/product/sam-edelman-sherpa-wrap-coat-with-knit-sleeves?ID=646574&CategoryID=2911,"
Give new direction to your capsule collection with this luxe San Edelman sherpa-lined wrap coat and exude modern edge every day.
","
Black
","X Small, Small, Medium, Large, X Large, ","Shawl collar, long knit sleeves, front center toggle closure, Sherpa lining, wrap silhouette, Shell: polyester; inner: acrylic; sleeves: polyester/elastane, Dry clean, Imported, ",8105876
654210,"
",Bottom,"leggings female",http://www1.bloomingdales.com/shop/product/wolford-support-leggings-velvet-100-leg-018855?ID=654210&CategoryID=2910,"
Flaunt your figure in Wolford's completely opaque shaping leggings, which look flawless with an oversized sweater and booties. Style #018855.
",Black,"X Small, Small, Medium, Large, ","Shaping leggings for a smooth bottom and thighs, Inside leg seam, 100 denier, Polyamide/elastane, Machine wash, Imported, ",8116765
